control,accuracy,main_minus_control,ci95_low,ci95_high,claim_supported
baseline,0.6349009900990099,0.004950495049504955,-0.0012515644555694619,0.012225687952442582,False
random_movement_matched_seed0,0.6225247524752475,0.017326732673267342,0.0075469327770930125,0.028290282902829027,True
random_movement_matched_seed1,0.625,0.014851485148514865,0.006127450980392157,0.024968789013732832,True
random_movement_matched_seed2,0.6287128712871287,0.011138613861386149,0.0036900369003690036,0.019632504785879013,True
random_mean,0.6254125412541254,0.014438943894389489,0.007453416149068323,0.022005381872709433,True
generic_relation_optimizer,0.6410891089108911,-0.0012376237623762387,-0.006329113924050633,0.0037593984962406013,False
