config_id,step_size,max_displacement,max_iter,mean_overlap_iou_sum,overlap_delta,overlap_delta_pct,mean_sg_layout_consistency,consistency_delta,mean_movement,max_movement,n_better_overlap,n_same_overlap,n_worse_overlap,n_better_consistency,n_same_consistency,n_worse_consistency,n_failures,n_rollbacks,n_skipped_no_overlap,n_scenes,duration_s,pareto_status
baseline,0,0,0,0.2244548163964963,0.0,0.0,0.9095068910490021,0.0,0.0,0.0,0,162,0,0,162,0,0,0,7,162,0.7,reference
s0075_d035_i050,0.075,0.35,50,0.12155446810881698,-0.10290034828767933,-45.844571277057064,0.9134982383001531,0.003991347251151023,0.08853537417475366,0.34740942736619407,N/A,N/A,N/A,N/A,N/A,N/A,0,0,7,162,N/A,frontier
s0050_d025_i050,0.05,0.25,50,0.1286672711355589,-0.09578754526093741,-42.6756470628503,0.9134431236617052,0.00393623261270315,0.07529519492819892,0.25000000000000006,129,33,0,7,155,0,0,0,7,162,22.6,frontier
s0025_d025_i050,0.025,0.25,50,0.13472126367547108,-0.08973355272102523,-39.97844829603129,0.9136972994060772,0.0041904083570751816,0.06983661946813562,0.25,127,35,0,6,156,0,0,0,7,162,38.0,frontier
s0075_d015_i050,0.075,0.15,50,0.15071227528089454,-0.07374254111560177,-32.85406938443085,0.9132667568186716,0.003759865769669579,0.05660336158681014,0.15000000000000002,131,31,0,7,155,0,0,0,7,162,11.2,frontier
s0075_d025_i050,0.075,0.25,50,0.13090237298445154,-0.09355244341204477,-41.679855622605885,0.9132667568186716,0.003759865769669579,0.07718271187523482,0.2497883436453429,N/A,N/A,N/A,N/A,N/A,N/A,0,0,7,162,N/A,dominated
s0075_d025_i025,0.075,0.25,25,0.13090237298445154,-0.09355244341204477,-41.679855622605885,0.9132667568186716,0.003759865769669579,0.07718271187523482,0.24978834364534297,131,31,0,7,155,0,0,0,7,162,15.7,dominated
s0075_d025_i075,0.075,0.25,75,0.13090237298445154,-0.09355244341204477,-41.679855622605885,0.9132667568186716,0.003759865769669579,0.07718271187523482,0.24978834364534297,131,31,0,7,155,0,0,0,7,162,15.5,dominated
s0025_d015_i025,0.025,0.15,25,0.15111556451063848,-0.07333925188585783,32.67439436733006,0.913884040769289,0.00437714972028691,0.05080677324812909,0.15000000000000074,N/A,N/A,N/A,N/A,N/A,N/A,0,0,7,162,N/A,not_in_strict_sweep
