rank,config_id,step_size,max_displacement,max_iter,mean_overlap_iou_sum,overlap_delta_pct,mean_sg_layout_consistency,consistency_delta,mean_movement,max_movement,pareto_status
—,baseline,0,0,0,0.2244548163964963,0.0,0.9095068910490021,0.0,0.0,0.0,reference
1,s0075_d035_i050,0.075,0.35,50,0.12155446810881698,-45.844571277057064,0.9134982383001531,0.003991347251151023,0.08853537417475366,0.34740942736619407,frontier
2,s0050_d025_i050,0.05,0.25,50,0.1286672711355589,-42.6756470628503,0.9134431236617052,0.00393623261270315,0.07529519492819892,0.25000000000000006,frontier
3,s0075_d025_i025,0.075,0.25,25,0.13090237298445154,-41.679855622605885,0.9132667568186716,0.003759865769669579,0.07718271187523482,0.24978834364534297,dominated
4,s0075_d025_i075,0.075,0.25,75,0.13090237298445154,-41.679855622605885,0.9132667568186716,0.003759865769669579,0.07718271187523482,0.24978834364534297,dominated
5,s0025_d025_i050,0.025,0.25,50,0.13472126367547108,-39.97844829603129,0.9136972994060772,0.0041904083570751816,0.06983661946813562,0.25,frontier
6,s0075_d015_i050,0.075,0.15,50,0.15071227528089454,-32.85406938443085,0.9132667568186716,0.003759865769669579,0.05660336158681014,0.15000000000000002,frontier
