room,variant,path,baseline_relation_acc,repair_relation_acc,relation_gain,avg_repair_movement,repair_overlap_ratio,repair_out_of_bounds_rate,mesh_scenes,baseline_mesh_pair_rate,repair_mesh_pair_rate,mesh_pair_delta,baseline_mesh_scene_rate,repair_mesh_scene_rate
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_direct_yfix_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7843866171003717,0.18959107806691444,1.9694487397728344,0.15416181194765669,0.0,177,0.034228702993092865,0.03614735226400614,0.0019186492709132724,0.7457627118644068,0.7627118644067796
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max0.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.6728624535315985,0.07806691449814118,0.3880599761477881,0.15447608896496984,0.0,177,0.034228702993092865,0.034458940905602455,0.00023023791250958991,0.7457627118644068,0.7401129943502824
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.2_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7100371747211895,0.11524163568773227,0.5974472293777873,0.15333549240106684,0.0,177,0.034228702993092865,0.034996162701458174,0.000767459708365309,0.7457627118644068,0.7457627118644068
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p1_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7286245353159851,0.13382899628252787,0.7281300725593765,0.15266005165834734,0.0,177,0.034228702993092865,0.035226400613967764,0.0009976976208748989,0.7457627118644068,0.7627118644067796
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7286245353159851,0.13382899628252787,0.7315397033299021,0.1525614679548688,0.0,177,0.034228702993092865,0.035072908672294706,0.0008442056792018413,0.7457627118644068,0.7570621468926554
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p3_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7323420074349443,0.137546468401487,0.7348543658806679,0.15221878568074326,0.0,177,0.034228702993092865,0.035072908672294706,0.0008442056792018413,0.7457627118644068,0.7570621468926554
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7323420074349443,0.137546468401487,0.6997279341929669,0.1537429491455249,0.0,177,0.034228702993092865,0.03537989255564083,0.0011511895625479635,0.7457627118644068,0.7570621468926554
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7323420074349443,0.137546468401487,0.6997279341929669,0.1537429491455249,0.0,177,0.034228702993092865,0.03537989255564083,0.0011511895625479635,0.7457627118644068,0.7570621468926554
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5947955390334573,0.7323420074349443,0.137546468401487,0.8335136609525856,0.15054660489679714,0.0,177,0.034228702993092865,0.03476592478894858,0.0005372217958557121,0.7457627118644068,0.7570621468926554
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5910780669144982,0.7472118959107806,0.15613382899628248,0.800673489127111,0.15548761554384896,0.0,177,0.034321006958017354,0.0353373465718083,0.0010163396137909467,0.7909604519774012,0.8135593220338984
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5910780669144982,0.7397769516728625,0.14869888475836435,0.9205413760241272,0.14268084911635448,0.0,177,0.03332805573147562,0.033882203926535785,0.0005541481950601668,0.7570621468926554,0.7570621468926554
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_direct_yfix_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.7482993197278912,0.19727891156462596,2.2833682531274695,0.13444817379605187,0.0,192,0.031257470714797994,0.0316160650251016,0.000358594310303606,0.8385416666666666,0.84375
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max0.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6156462585034014,0.06462585034013613,0.3796933963480469,0.13938387014867987,0.0,192,0.031257470714797994,0.0314367678699498,0.000179297155151803,0.8385416666666666,0.84375
livingroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.2_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6564625850340136,0.1054421768707483,0.666166170750744,0.1389507426760908,0.0,192,0.031257470714797994,0.03197465933540521,0.0007171886206072189,0.8385416666666666,0.84375
livingroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p1_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6870748299319728,0.13605442176870752,0.8848261475600407,0.13842274017000644,0.0,192,0.031257470714797994,0.032034425053789145,0.000776954338991151,0.8385416666666666,0.84375
livingroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6938775510204082,0.1428571428571429,0.880763207920085,0.1384330679825794,0.0,192,0.031257470714797994,0.032094190772173084,0.0008367200573750899,0.8385416666666666,0.84375
livingroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p3_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6938775510204082,0.1428571428571429,0.880763207920085,0.1384330679825794,0.0,192,0.031257470714797994,0.032094190772173084,0.0008367200573750899,0.8385416666666666,0.84375
livingroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6938775510204082,0.1428571428571429,0.8477114383082196,0.13925017741360995,0.0,192,0.031257470714797994,0.03221372220894095,0.000956251494142954,0.8385416666666666,0.84375
livingroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6938775510204082,0.1428571428571429,0.8477114383082196,0.13925017741360995,0.0,192,0.031257470714797994,0.03221372220894095,0.000956251494142954,0.8385416666666666,0.84375
livingroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5510204081632653,0.6938775510204082,0.1428571428571429,0.9872446705721878,0.13682853892504432,0.0,192,0.031257470714797994,0.03167583074348554,0.00041836002868754496,0.8385416666666666,0.8385416666666666
livingroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5340136054421769,0.6598639455782312,0.12585034013605434,0.7875490245282091,0.13745552843587505,0.0003874467260751647,192,0.03072855464159812,0.031903642773207994,0.0011750881316098735,0.84375,0.8645833333333334
livingroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json,0.5408163265306123,0.6530612244897959,0.11224489795918358,1.0028435508931488,0.13119200917560986,0.0,192,0.027843637911119216,0.028816341418931243,0.0009727035078120269,0.8125,0.8333333333333334
