room,scenes,runtime_sec,target_total,horizontal_total,passthrough_vertical_or_unsupported_total,before_all_acc_simple,after_all_acc_simple,all_acc_gain_simple,before_horizontal_acc_simple,after_horizontal_acc_simple,horizontal_acc_gain_simple,optimizer_edits,avg_final_movement_per_scene,avg_final_movement_per_edit,before_overlap_area,after_overlap_area,overlap_area_delta,before_overlap_pairs,after_overlap_pairs,overlap_pair_delta,before_oob_centers,after_oob_centers,oob_delta,missing_pair_total
bedroom,162,0.11660945415496826,243,209,34,0.588477366255144,0.8765432098765432,0.2880658436213992,0.5406698564593302,0.8755980861244019,0.33492822966507174,72,0.922389422046778,2.0753761996052504,13.039705704521824,11.409913302853285,-1.6297924016685386,150,142,-8,0,0,0,20
livingroom,192,0.48589468747377396,229,209,20,0.3318777292576419,0.7685589519650655,0.4366812227074236,0.2966507177033493,0.7751196172248804,0.47846889952153115,101,0.9685213763812852,1.841149547180265,26.851708339712285,23.982893807994962,-2.868814531717323,412,381,-31,0,0,0,37
diningroom,177,0.4854036942124367,236,223,13,0.3305084745762712,0.7288135593220338,0.39830508474576265,0.29596412556053814,0.7174887892376681,0.42152466367713,120,0.9328259089063986,1.3759182156369378,21.61772453086081,19.29504577966099,-2.322678751199817,332,310,-22,0,0,0,35
