room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
bedroom,parsed_p2_close0.75_far1.6,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.5676992340376916,0.08697745079776557,0.08358645333014945,-0.003390997467616119,0.0,0.0
livingroom,parsed_p2_close0.75_far1.6,192,294,0.5272108843537415,0.5510204081632653,0.7414965986394558,0.19047619047619058,0.7551020408163265,0.43197278911564624,0.5545851528384279,73,87,2.5058597926106496,0.1399313787549834,0.13484102793362554,-0.005090350821357864,0.0,0.0
diningroom,parsed_p2_close0.75_far1.6,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.79182156133829,0.483271375464684,0.5508474576271186,64,72,2.1341270502808545,0.15540338238111207,0.15416181194765669,-0.00124157043345538,0.0,0.0
