room,variant,rel_total,baseline_acc,repair_acc,gated_acc,repair_gain,gated_gain,baseline_mesh_pair_rate,repair_mesh_pair_rate,gated_mesh_pair_rate,fallback_scenes,mesh_scenes_evaluated,source
diningroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.6728624535315985,0.6468401486988847,0.07806691449814118,0.052044609665427455,0.034228702993092865,0.034458940905602455,0.03384497313891021,7,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max0.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.7100371747211895,0.654275092936803,0.11524163568773227,0.059479553903345694,0.034228702993092865,0.034996162701458174,0.033691481197237146,14,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.2_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,269,0.5947955390334573,0.7286245353159851,0.6728624535315985,0.13382899628252787,0.07806691449814118,0.034228702993092865,0.035226400613967764,0.03361473522640061,16,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p1_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.7286245353159851,0.6728624535315985,0.13382899628252787,0.07806691449814118,0.034228702993092865,0.035072908672294706,0.03361473522640061,15,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,269,0.5947955390334573,0.7323420074349443,0.6765799256505576,0.137546468401487,0.0817843866171003,0.034228702993092865,0.035072908672294706,0.03346124328472755,16,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_max1.8_mesh_p3_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.7323420074349443,0.6654275092936803,0.137546468401487,0.07063197026022305,0.034228702993092865,0.03537989255564083,0.03361473522640061,17,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.7323420074349443,0.6654275092936803,0.137546468401487,0.07063197026022305,0.034228702993092865,0.03537989255564083,0.03361473522640061,17,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,269,0.5947955390334573,0.7323420074349443,0.6840148698884758,0.137546468401487,0.08921933085501854,0.034228702993092865,0.03476592478894858,0.03353798925556408,13,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,269,0.5910780669144982,0.7472118959107806,0.6728624535315985,0.15613382899628248,0.0817843866171003,0.034321006958017354,0.0353373465718083,0.03346102728480963,17,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,269,0.5910780669144982,0.7397769516728625,0.6914498141263941,0.14869888475836435,0.1003717472118959,0.03332805573147562,0.033882203926535785,0.0324572514249525,11,177,E:\research_worldmodel\results\floor_prior_remote\diningroom_sgdiffusion_vq_objfeat_epoch_01239_relation_aware_parsed_floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.7482993197278912,0.6870748299319728,0.19727891156462596,0.13605442176870752,0.031257470714797994,0.0316160650251016,0.03054028209419077,14,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_direct_yfix_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6156462585034014,0.5986394557823129,0.06462585034013613,0.04761904761904767,0.031257470714797994,0.0314367678699498,0.031078173559646188,4,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max0.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6564625850340136,0.6156462585034014,0.1054421768707483,0.06462585034013613,0.031257470714797994,0.03197465933540521,0.031078173559646188,11,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.2_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_max1.8_mesh_p1_close0.75_far1.6,294,0.5510204081632653,0.6870748299319728,0.6394557823129252,0.13605442176870752,0.08843537414965996,0.031257470714797994,0.032034425053789145,0.030958642122878317,13,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p1_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_max1.8_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6938775510204082,0.6394557823129252,0.1428571428571429,0.08843537414965996,0.031257470714797994,0.032094190772173084,0.030958642122878317,14,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_max1.8_mesh_p3_close0.75_far1.6,294,0.5510204081632653,0.6938775510204082,0.6394557823129252,0.1428571428571429,0.08843537414965996,0.031257470714797994,0.032094190772173084,0.030958642122878317,14,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_max1.8_mesh_p3_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6938775510204082,0.6394557823129252,0.1428571428571429,0.08843537414965996,0.031257470714797994,0.03221372220894095,0.031078173559646188,14,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6938775510204082,0.6394557823129252,0.1428571428571429,0.08843537414965996,0.031257470714797994,0.03221372220894095,0.031078173559646188,14,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,294,0.5510204081632653,0.6938775510204082,0.6496598639455783,0.1428571428571429,0.09863945578231303,0.031257470714797994,0.03167583074348554,0.03089887640449438,11,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,294,0.5340136054421769,0.6598639455782312,0.6054421768707483,0.12585034013605434,0.0714285714285714,0.03072855464159812,0.031903642773207994,0.030493537015276146,18,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
livingroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,294,0.5408163265306123,0.6530612244897959,0.5918367346938775,0.11224489795918358,0.05102040816326525,0.027843637911119216,0.028816341418931243,0.02760046203416621,17,192,E:\research_worldmodel\results\floor_prior_remote\livingroom_sgdiffusion_vq_objfeat_epoch_01459_relation_aware_parsed_floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6_eval_cfg1.0_1.0.json
