room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
bedroom,oracle_p2_close0.75_far1.6,162,245,0.7387755102040816,0.7387755102040816,0.8857142857142857,0.14693877551020407,0.8857142857142857,0.5265306122448979,0.5308641975308642,59,38,2.586485053082832,0.08697745079776557,0.0845273099631017,-0.0024501408346638692,0.0,0.0011547344110854503
livingroom,oracle_p2_close0.75_far1.6,192,294,0.5272108843537415,0.5510204081632653,0.7755102040816326,0.22448979591836737,0.782312925170068,0.43197278911564624,0.5545851528384279,93,109,2.4647718498111573,0.1399313787549834,0.1416299586362526,0.0016985798812692021,0.0,0.0
diningroom,oracle_p2_close0.75_far1.6,177,269,0.587360594795539,0.5947955390334573,0.8141263940520446,0.2193308550185873,0.8252788104089219,0.483271375464684,0.5508474576271186,76,85,2.2649526507452697,0.15540338238111207,0.152767298319588,-0.0026360840615240744,0.0,0.0
