room,setting,scenes,objects,layout_pairs,repair_pairs,layout_ratio_num,layout_ratio_den,repair_ratio_num,repair_ratio_den,layout_iou_sum,repair_iou_sum,layout_max_iou,repair_max_iou,explicit_scenes,implicit_scenes,explicit_rel_total,implicit_rel_total,explicit_base,explicit_repair,implicit_base,implicit_repair,layout_obb_overlap_ratio,repair_obb_overlap_ratio,layout_pairs_per_scene,repair_pairs_per_scene,explicit_base_acc,explicit_repair_acc,implicit_base_acc,implicit_repair_acc
bedroom,main_seed0,162,866,147,144,13.566037942475896,291.31079048416643,12.142231305701207,291.31079048416643,16.56703009919881,15.445279595894734,0.6719901929864333,0.6719901929864333,162,0,245,0,181,214,0,0,0.04656895105028129,0.04168136472226274,0.9074074074074074,0.8888888888888888,0.7387755102040816,0.8734693877551021,0.0,0.0
livingroom,main_seed0,192,2540,367,352,26.337718035318364,484.7108512621452,24.32148122769903,484.7108512621452,69.61211209505062,65.86926472880818,0.8045401350302804,0.8045401350302804,192,0,294,0,162,218,0,0,0.054336968043395814,0.05017729882540899,1.9114583333333333,1.8333333333333333,0.5510204081632653,0.7414965986394558,0.0,0.0
diningroom,main_seed0,177,2119,307,301,21.395983845184873,374.62986715689016,20.707897323000534,374.62986715689016,54.594077007590144,53.30816834619304,0.9231106587216573,0.9231106587216573,177,0,265,0,159,210,0,0,0.05711232798271396,0.05527561771877717,1.734463276836158,1.7005649717514124,0.6,0.7924528301886793,0.0,0.0
