room,scenes,relations,baseline_relation_acc,repaired_relation_acc,relation_gain,mesh_scenes_evaluated,layout_mesh_collision_pair_rate,repair_mesh_collision_pair_rate,mesh_pair_delta,layout_mesh_collision_scene_rate,repair_mesh_collision_scene_rate,mesh_scene_delta,layout_pairs,repair_pairs,layout_total_pairs,repair_total_pairs
bedroom,162,245,0.7387755102040816,0.8734693877551021,0.13469387755102047,162,0.0702439024390244,0.0702439024390244,0.0,0.5493827160493827,0.5493827160493827,0.0,144,144,2050,2050
livingroom,192,294,0.5510204081632653,0.7414965986394558,0.19047619047619058,192,0.031257470714797994,0.0316160650251016,0.000358594310303606,0.8385416666666666,0.8489583333333334,0.01041666666666674,523,529,16732,16732
diningroom,177,269,0.5947955390334573,0.7843866171003717,0.18959107806691444,177,0.034228702993092865,0.03476592478894858,0.0005372217958557121,0.7457627118644068,0.7627118644067796,0.016949152542372836,446,453,13030,13030
