room,scenes,relations,baseline_acc,repair_acc,collision_gated_acc,repair_gain,gated_gain,baseline_mesh_pair_rate,repair_mesh_pair_rate,collision_gated_mesh_pair_rate,baseline_mesh_scene_rate,repair_mesh_scene_rate,collision_gated_mesh_scene_rate,gated_used_repair_scenes,gated_fallback_scenes
bedroom,162,245,0.7387755102040816,0.8734693877551021,0.8448979591836735,0.13469387755102047,0.10612244897959189,0.0702439024390244,0.0702439024390244,0.06487804878048781,0.5493827160493827,0.5493827160493827,0.5185185185185185,153,9
livingroom,192,294,0.5510204081632653,0.7414965986394558,0.6870748299319728,0.19047619047619058,0.13605442176870752,0.031257470714797994,0.0316160650251016,0.03054028209419077,0.8385416666666666,0.8489583333333334,0.8333333333333334,178,14
diningroom,177,269,0.5947955390334573,0.7843866171003717,0.7211895910780669,0.18959107806691444,0.12639405204460963,0.034228702993092865,0.03476592478894858,0.033154259401381427,0.7457627118644068,0.7627118644067796,0.7457627118644068,164,13
