scene_id,layout_variant,source_config_id,n_objects,changed_objects,total_xz_movement,max_xz_movement,budget_total,budget_max
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,3,0,0.0,0.0,0.0,0.0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,random_movement_matched_seed0,eg06_random_seed0,3,0,0.0,0.0,0.0,0.0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,random_movement_matched_seed1,eg06_random_seed1,3,0,0.0,0.0,0.0,0.0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,random_movement_matched_seed2,eg06_random_seed2,3,0,0.0,0.0,0.0,0.0
bedroom:0f401f03-d3c7-413b-b9ff-bfb6fdbb416d_MasterBedroom-75552,generic_relation_optimizer,eg06_generic_budget_matched,3,0,0.0,0.0,0.0,0.0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:0f7d04b8-9de9-4e07-9a44-0cdb8b2703f4_SecondBedroom-19119,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:0fc4d063-6145-456f-8fe1-1180d3eeeb3f_Bedroom-2719,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,0,0.0,0.0,0.0,0.0
