scene_id,room_type,layout_variant,source_config_id,n_relations,n_evaluated,n_satisfied,n_missing,n_unsupported,relation_accuracy,conditional_accuracy,has_conflicting_targets
bedroom:185d02b3-ca3f-40a9-a981-71ecb7944538_Bedroom-18055,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:189b1d9b-894e-43b5-87be-c1b76cba3df4_SecondBedroom-19262,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:198eb9ec-9059-4e26-958e-dc8fb8187713_Bedroom-12864,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:19c91c8f-02fc-44d9-b275-84c32f0572ad_SecondBedroom-266050,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,bedroom,baseline,instructscene_baseline,2,2,0,0,0,0.0,0.0,0
bedroom:1aa91215-cba7-4c40-8b37-6b21584b5924_MasterBedroom-12352,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,0,0,0,0.0,0.0,0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:1e16532d-1ec8-42c6-a66f-ef21e31c22c1_MasterBedroom-7894,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:1e4c1b89-895e-4663-9469-f2e837fb39fd_MasterBedroom-118594,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,1
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,1
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:249bbe46-04df-4781-ad1a-dd7a60bfccb0_SecondBedroom-8497,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,1
bedroom:249bbe46-04df-4781-ad1a-dd7a60bfccb0_SecondBedroom-8497,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,1
bedroom:25235b9f-c9cc-4dca-ac4c-69614e46e9a9_MasterBedroom-196,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:25235b9f-c9cc-4dca-ac4c-69614e46e9a9_MasterBedroom-196,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:261774c0-9480-40b3-a85a-4804c96ea443_MasterBedroom-132469,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:261774c0-9480-40b3-a85a-4804c96ea443_MasterBedroom-132469,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:28d8d63b-95bb-4993-bdf1-e1da13115118_MasterBedroom-104323,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:28d8d63b-95bb-4993-bdf1-e1da13115118_MasterBedroom-104323,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:29aa7167-1c46-4ce0-8c58-3cfb7a7d15af_SecondBedroom-69556,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:29f92b53-a723-41c9-992c-1d146ce542a7_Bedroom-6993,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:2b2d0238-534a-46bd-95f6-2e45a098de5e_MasterBedroom-935,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:2b2d0238-534a-46bd-95f6-2e45a098de5e_MasterBedroom-935,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:2c213709-c572-4f58-92c8-d2a42199314a_SecondBedroom-2311,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:2c213709-c572-4f58-92c8-d2a42199314a_SecondBedroom-2311,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:305d3251-8f1e-4cca-9227-011187146d89_SecondBedroom-69136,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:305d3251-8f1e-4cca-9227-011187146d89_SecondBedroom-69136,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:30c0c5d6-30c7-43fc-95b1-e7424df97d77_Bedroom-47437,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:30c0c5d6-30c7-43fc-95b1-e7424df97d77_Bedroom-47437,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:312c3afe-ae86-4823-b67e-292660fc85f8_SecondBedroom-739,bedroom,baseline,instructscene_baseline,1,0,0,1,0,0.0,0.0,0
bedroom:312c3afe-ae86-4823-b67e-292660fc85f8_SecondBedroom-739,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,0,0,1,0,0.0,0.0,0
bedroom:337b9770-f524-48fb-914c-89dd9f2d927e_MasterBedroom-6351,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:337b9770-f524-48fb-914c-89dd9f2d927e_MasterBedroom-6351,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:38330463-78e6-4d25-bd89-9daf92d0cfb9_SecondBedroom-22370,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:38330463-78e6-4d25-bd89-9daf92d0cfb9_SecondBedroom-22370,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:38e3cf4a-a67b-42d8-b467-2d1a3e5407a8_SecondBedroom-15551,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:39ea30b1-4302-4a07-885b-bd498facd30d_MasterBedroom-13100,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:39ea30b1-4302-4a07-885b-bd498facd30d_MasterBedroom-13100,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:3b349315-8f84-4027-b654-f8ecd6d3cf67_SecondBedroom-13841,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:3b349315-8f84-4027-b654-f8ecd6d3cf67_SecondBedroom-13841,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_Bedroom-18,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_Bedroom-18,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_MasterBedroom-10364,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:3bf54310-1dd3-45a3-b6ce-e192f4d8ff43_MasterBedroom-10364,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:3e40b128-6291-41ff-89aa-0ae707a594c6_SecondBedroom-11303,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:3e40b128-6291-41ff-89aa-0ae707a594c6_SecondBedroom-11303,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:3ec24496-80f4-4ea1-b889-b3cb902d2a47_MasterBedroom-1362,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:3ec24496-80f4-4ea1-b889-b3cb902d2a47_MasterBedroom-1362,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:3f60d6b9-49ba-45d9-bf03-966069127e75_SecondBedroom-34317,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:3f60d6b9-49ba-45d9-bf03-966069127e75_SecondBedroom-34317,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:40415a21-d863-4c54-a088-c078346ba939_Bedroom-4098,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:40415a21-d863-4c54-a088-c078346ba939_Bedroom-4098,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:40dcaad6-b0b5-4030-bd90-13ceadc84ce1_Bedroom-5265,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:40dcaad6-b0b5-4030-bd90-13ceadc84ce1_Bedroom-5265,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:41530c87-2f3d-45fc-a696-9e3b276024a8_MasterBedroom-22121,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:41530c87-2f3d-45fc-a696-9e3b276024a8_MasterBedroom-22121,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:46d93d61-5f50-4431-b92e-9f9bd4da5b7c_Bedroom-47481,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:46d93d61-5f50-4431-b92e-9f9bd4da5b7c_Bedroom-47481,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:47f1e226-bb51-4a8e-aaad-64156c826c8a_Bedroom-2160,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:47f1e226-bb51-4a8e-aaad-64156c826c8a_Bedroom-2160,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:4879b8e7-75aa-46b7-a835-bc5fcd5f9b23_SecondBedroom-9825,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:4879b8e7-75aa-46b7-a835-bc5fcd5f9b23_SecondBedroom-9825,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:4c364533-a3af-4a9c-9ed9-2f40f528fa04_Bedroom-1989,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:4c364533-a3af-4a9c-9ed9-2f40f528fa04_Bedroom-1989,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,bedroom,baseline,instructscene_baseline,2,2,0,0,0,0.0,0.0,0
bedroom:503ebcb6-9815-4412-90ea-f0bbd59ddbe9_SecondBedroom-143,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,0,0,0,0.0,0.0,0
bedroom:50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:50526848-e51d-48e0-bb9b-3c5c90d76c4d_SecondBedroom-13044,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:525c4166-1792-4f4a-a9c2-1ea260cf6e39_Bedroom-8490,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:52982a7b-ed79-44e6-bb37-f878754c07d3_MasterBedroom-424,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:52982a7b-ed79-44e6-bb37-f878754c07d3_MasterBedroom-424,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:54bdf809-f190-48e7-9b25-a9986077fc0f_SecondBedroom-32238,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:55963844-bffe-4151-b0c0-9eb62e8aa454_SecondBedroom-258160,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:55963844-bffe-4151-b0c0-9eb62e8aa454_SecondBedroom-258160,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:56fedd11-b226-4c51-8d89-552caf24487b_SecondBedroom-19232,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:578810bc-9d89-4852-921f-fb51ca7fbc53_SecondBedroom-6685,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:578810bc-9d89-4852-921f-fb51ca7fbc53_SecondBedroom-6685,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:591bd837-693c-4f91-bef7-fabf1c0ea146_SecondBedroom-24334,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:591bd837-693c-4f91-bef7-fabf1c0ea146_SecondBedroom-24334,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:5a81f6c1-4742-45b0-9a1c-61fefae41430_Bedroom-35352,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:5a81f6c1-4742-45b0-9a1c-61fefae41430_Bedroom-35352,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:5bd22e7d-960b-4e14-93bd-f955001f799e_MasterBedroom-4284,bedroom,baseline,instructscene_baseline,2,2,1,0,0,0.5,0.5,0
bedroom:5bd22e7d-960b-4e14-93bd-f955001f799e_MasterBedroom-4284,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,1,0,0,0.5,0.5,0
bedroom:5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:5e024c0f-0bca-4074-ac77-4b72a7629d0a_MasterBedroom-1069,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:5e7daec3-6980-46cc-855d-8465774001a4_MasterBedroom-113,bedroom,baseline,instructscene_baseline,1,1,0,0,0,0.0,0.0,0
bedroom:5e7daec3-6980-46cc-855d-8465774001a4_MasterBedroom-113,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,0,0,0,0.0,0.0,0
bedroom:5f27b15d-9586-47a1-9875-075c68a95b05_SecondBedroom-48968,bedroom,baseline,instructscene_baseline,2,2,2,0,0,1.0,1.0,0
bedroom:5f27b15d-9586-47a1-9875-075c68a95b05_SecondBedroom-48968,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,2,2,2,0,0,1.0,1.0,0
bedroom:61a0705d-2f6b-4086-a80d-4b06a42fc876_MasterBedroom-9222,bedroom,baseline,instructscene_baseline,1,1,1,0,0,1.0,1.0,0
bedroom:61a0705d-2f6b-4086-a80d-4b06a42fc876_MasterBedroom-9222,bedroom,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,1,1,1,0,0,1.0,1.0,0
bedroom:61b7fad2-bbac-4728-a5e1-c574cfcf14e6_Bedroom-32051,bedroom,baseline,instructscene_baseline,1,0,0,1,0,0.0,0.0,0
