room,setting,scenes,objects,layout_pairs,repair_pairs,layout_ratio_num,layout_ratio_den,repair_ratio_num,repair_ratio_den,layout_iou_sum,repair_iou_sum,layout_max_iou,repair_max_iou,explicit_scenes,implicit_scenes,explicit_rel_total,implicit_rel_total,explicit_base,explicit_repair,implicit_base,implicit_repair,layout_obb_overlap_ratio,repair_obb_overlap_ratio,layout_pairs_per_scene,repair_pairs_per_scene,explicit_base_acc,explicit_repair_acc,implicit_base_acc,implicit_repair_acc
bedroom,seed0,162,866,147,144,13.566037942475896,291.31079048416643,12.142231305701207,291.31079048416643,16.56703009919881,15.445279595894734,0.6719901929864333,0.6719901929864333,162,0,245,0,181,214,0,0,0.04656895105028129,0.04168136472226274,0.9074074074074074,0.8888888888888888,0.7387755102040816,0.8734693877551021,0.0,0.0
bedroom,seed1,162,846,160,158,14.7671549399942,289.8700023619586,14.860276848390034,289.8700023619586,19.259939734143504,19.224220285079497,0.9514905836267907,0.9514905836267907,162,0,245,0,191,222,0,0,0.05094406050873301,0.051265314545497924,0.9876543209876543,0.9753086419753086,0.7795918367346939,0.9061224489795918,0.0,0.0
bedroom,seed2,162,860,161,154,15.05503054573803,292.6066969102427,14.419265436164013,292.6066969102427,20.277019293622413,19.161945015303832,0.7385065846103238,0.7385065846103238,162,0,245,0,184,221,0,0,0.05145142166843902,0.049278658309680215,0.9938271604938271,0.9506172839506173,0.7510204081632653,0.9020408163265307,0.0,0.0
livingroom,seed0,192,2540,367,352,26.337718035318364,484.7108512621452,24.32148122769903,484.7108512621452,69.61211209505062,65.86926472880818,0.8045401350302804,0.8045401350302804,192,0,294,0,162,218,0,0,0.054336968043395814,0.05017729882540899,1.9114583333333333,1.8333333333333333,0.5510204081632653,0.7414965986394558,0.0,0.0
livingroom,seed1,192,2581,365,364,27.589385510467793,495.78845952361155,26.612285888692476,495.78845952361155,71.040677869294,67.48638208746158,0.8348313098118263,0.8348313098118263,192,0,294,0,157,226,0,0,0.05564749437084037,0.053676694924007375,1.9010416666666667,1.8958333333333333,0.5340136054421769,0.7687074829931972,0.0,0.0
livingroom,seed2,192,2522,349,331,25.763776898716092,489.09692589470603,24.587430680970634,489.09692589470603,66.58186384437538,63.17405294993828,0.9171855387854383,0.9171855387854383,192,0,294,0,159,216,0,0,0.05267621924138321,0.05027107998275147,1.8177083333333333,1.7239583333333333,0.5408163265306123,0.7346938775510204,0.0,0.0
diningroom,seed0,177,2119,307,301,21.395983845184873,374.62986715689016,20.707897323000534,374.62986715689016,54.594077007590144,53.30816834619304,0.9231106587216573,0.9231106587216573,177,0,265,0,159,210,0,0,0.05711232798271396,0.05527561771877717,1.734463276836158,1.7005649717514124,0.6,0.7924528301886793,0.0,0.0
diningroom,seed1,177,2106,328,320,23.155169221878086,373.6416959602222,21.674086693468215,373.6416959602222,60.24969527532406,56.87943111276641,0.8284883243361374,0.8284883243361374,177,0,265,0,159,214,0,0,0.06197158794703464,0.05800767668010915,1.8531073446327684,1.807909604519774,0.6,0.8075471698113208,0.0,0.0
diningroom,seed2,177,2096,300,293,19.181134854902343,367.2938850712221,18.284008280783176,367.2938850712221,50.65292810226841,48.78236407525469,0.8041281445246222,0.8041281445246222,177,0,265,0,157,217,0,0,0.052222853781469625,0.049780323125275326,1.694915254237288,1.655367231638418,0.5924528301886792,0.8188679245283019,0.0,0.0
