room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
bedroom,seed0,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.5676992340376916,0.08697745079776557,0.08358645333014945,-0.003390997467616119,0.0,0.0
bedroom,seed1,162,245,0.7673469387755102,0.7795918367346939,0.9061224489795918,0.12653061224489792,0.9061224489795918,0.5265306122448979,0.5308641975308642,42,50,2.404332774429276,0.09856790164649774,0.0975245722789357,-0.0010433293675620459,0.0,0.0
bedroom,seed2,162,245,0.763265306122449,0.7510204081632653,0.9020408163265307,0.15102040816326534,0.9020408163265307,0.5265306122448979,0.5308641975308642,51,47,2.5162556345742297,0.09693381454750782,0.0952553931544501,-0.0016784213930577246,0.0,0.0034883720930232558
livingroom,seed0,192,294,0.5272108843537415,0.5510204081632653,0.7414965986394558,0.19047619047619058,0.7551020408163265,0.43197278911564624,0.5545851528384279,73,87,2.5058597926106496,0.1399313787549834,0.13484102793362554,-0.005090350821357864,0.0,0.0
livingroom,seed1,192,294,0.5374149659863946,0.5340136054421769,0.7687074829931972,0.23469387755102034,0.782312925170068,0.43197278911564624,0.5545851528384279,82,80,2.523888554692898,0.1393869001677193,0.13541842645636418,-0.003968473711355114,0.0003874467260751647,0.0003874467260751647
livingroom,seed2,192,294,0.5272108843537415,0.5408163265306123,0.7346938775510204,0.19387755102040816,0.7482993197278912,0.43197278911564624,0.5545851528384279,68,85,2.766201246642492,0.13310080134086552,0.1287369507598251,-0.004363850581040413,0.0,0.0
diningroom,seed0,177,269,0.587360594795539,0.5947955390334573,0.7843866171003717,0.18959107806691444,0.79182156133829,0.483271375464684,0.5508474576271186,64,72,2.1341270502808545,0.15540338238111207,0.15416181194765669,-0.00124157043345538,0.0,0.0
diningroom,seed1,177,269,0.5985130111524164,0.5910780669144982,0.7955390334572491,0.20446096654275092,0.8104089219330854,0.483271375464684,0.5508474576271186,70,64,2.1139025393042417,0.15820842518893566,0.1551301559647756,-0.0030782692241600462,0.0,0.0
diningroom,seed2,177,269,0.5947955390334573,0.5910780669144982,0.8178438661710037,0.22676579925650553,0.8252788104089219,0.483271375464684,0.5508474576271186,71,60,2.317714376994079,0.14450627485918874,0.14295126983603967,-0.0015550050231490642,0.0,0.0
