room,variant,relation,n,baseline_acc,repair_acc,gain
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.8103448275862069,0.13793103448275856
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.8181818181818182,0.12727272727272732
bedroom,floor_prior_ow05_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.8103448275862069,0.13793103448275856
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.8181818181818182,0.12727272727272732
bedroom,floor_prior_ow0_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,0,15,0.8,0.8,0.0
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.782608695652174,0.08695652173913049
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8444444444444444,0.9111111111111111,0.06666666666666665
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,3,3,0.6666666666666666,1.0,0.33333333333333337
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,5,20,1.0,1.0,0.0
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6724137931034483,0.8103448275862069,0.13793103448275856
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,7,55,0.6909090909090909,0.8181818181818182,0.12727272727272732
bedroom,floor_prior_ow2_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,0,15,1.0,1.0,0.0
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,1,46,0.8478260869565217,0.8695652173913043,0.021739130434782594
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8666666666666667,0.9333333333333333,0.06666666666666665
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,1.0,1.0
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,5,20,0.9,0.9,0.0
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6551724137931034,0.8275862068965517,0.1724137931034483
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,7,55,0.7454545454545455,0.9090909090909091,0.16363636363636358
bedroom,floor_prior_seed1_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.0,0.0
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,0,15,0.9333333333333333,0.9333333333333333,0.0
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,1,46,0.6956521739130435,0.8043478260869565,0.10869565217391308
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,2,45,0.8888888888888888,0.9111111111111111,0.022222222222222254
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,3,3,0.3333333333333333,1.0,0.6666666666666667
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,4,1,0.0,0.0,0.0
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,5,20,0.85,0.85,0.0
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,6,58,0.6379310344827587,0.8448275862068966,0.2068965517241379
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,7,55,0.7818181818181819,0.9090909090909091,0.1272727272727272
bedroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,9,2,0.0,0.5,0.5
diningroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0,1,1.0,1.0,0.0
