room,n,baseline_acc_mean,baseline_acc_std,repaired_acc_mean,repaired_acc_std,gain_mean,gain_std,repair_overlap_ratio_mean,repair_overlap_ratio_std,repair_oob_mean,repair_oob_std
bedroom,3,0.7564625850340136,0.020945311997742404,0.8938775510204082,0.017791424259349674,0.13741496598639458,0.012469593727771022,0.09212213958784508,0.007478686274481022,0.0011627906976744186,0.0020140125669405548
livingroom,3,0.5419501133786848,0.008559902987835268,0.7482993197278912,0.017998308238534586,0.20634920634920637,0.024606048088674195,0.13299880171660494,0.0037021449791801884,0.00012914890869172155,0.00022369247159613551
diningroom,3,0.5923172242874846,0.0021462835285859763,0.7992565055762082,0.017035597379017987,0.20693928128872363,0.018710866010584262,0.15074774591615733,0.006769283712827932,0.0,0.0
