room,n,layout_obb_overlap_ratio_mean,layout_obb_overlap_ratio_std,repair_obb_overlap_ratio_mean,repair_obb_overlap_ratio_std,layout_pairs_per_scene_mean,layout_pairs_per_scene_std,repair_pairs_per_scene_mean,repair_pairs_per_scene_std
bedroom,3,0.049654811075817776,0.002684446481026875,0.04740844585914696,0.005058289682409423,0.9629629629629629,0.04821141775251017,0.9382716049382716,0.044512978709431994
livingroom,3,0.0542202272185398,0.0014890736344700074,0.05137502457738928,0.001993856442862405,1.8767361111111112,0.051384196482460946,1.8177083333333333,0.08699631816921909
diningroom,3,0.057102256570406074,0.00487437488635446,0.05435453917472055,0.004190301408287987,1.7608286252354048,0.0823257739901861,1.7212806026365348,0.07835270833414208
