room,setting,scenes,relations,graph_acc,baseline_acc,repaired_acc,gain,easy_repaired_acc,parser_recall,parser_precision,repair_edits,repair_skipped,avg_move,layout_overlap_ratio,repair_overlap_ratio,overlap_delta,layout_oob,repair_oob
bedroom,close0.50_far1.30,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.4199482125833462,0.08697745079776557,0.0856508395371269,-0.0013266112606386687,0.0,0.0
bedroom,close0.50_far1.60,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.5653735952356502,0.08697745079776557,0.08366047087963195,-0.0033169799181336224,0.0,0.0
bedroom,close0.75_far1.30,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.4222738513853876,0.08697745079776557,0.08557682198764444,-0.0014006288101211378,0.0,0.0
bedroom,close0.75_far1.6,162,245,0.7387755102040816,0.7387755102040816,0.8734693877551021,0.13469387755102047,0.8734693877551021,0.5265306122448979,0.5308641975308642,59,50,2.5676992340376916,0.08697745079776557,0.08358645333014945,-0.003390997467616119,0.0,0.0
bedroom,close0.75_far2.00,162,245,0.7387755102040816,0.7387755102040816,0.8693877551020408,0.1306122448979592,0.8693877551020408,0.5265306122448979,0.5308641975308642,59,50,2.7940043146411977,0.08697745079776557,0.08370628590933635,-0.003271164888429226,0.0,0.0
bedroom,close1.00_far1.60,162,245,0.7387755102040816,0.7387755102040816,0.8612244897959184,0.12244897959183676,0.8734693877551021,0.5265306122448979,0.5308641975308642,62,50,2.4470228819527424,0.08697745079776557,0.08357770143774304,-0.003399749360022533,0.0,0.0
bedroom,close1.00_far2.00,162,245,0.7387755102040816,0.7387755102040816,0.8571428571428571,0.11836734693877549,0.8693877551020408,0.5265306122448979,0.5308641975308642,62,50,2.6623777167205946,0.08697745079776557,0.08369753401692993,-0.00327991678083564,0.0,0.0
livingroom,close0.50_far1.30,192,294,0.5272108843537415,0.5510204081632653,0.7448979591836735,0.19387755102040827,0.7551020408163265,0.43197278911564624,0.5545851528384279,72,87,2.3972181073221925,0.1399313787549834,0.13656725543375603,-0.0033641233212273747,0.0,0.0
livingroom,close0.50_far1.60,192,294,0.5272108843537415,0.5510204081632653,0.7414965986394558,0.19047619047619058,0.7551020408163265,0.43197278911564624,0.5545851528384279,73,87,2.502020466672259,0.1399313787549834,0.13539510388072096,-0.004536274874262447,0.0,0.0
livingroom,close0.75_far1.30,192,294,0.5272108843537415,0.5510204081632653,0.7448979591836735,0.19387755102040827,0.7551020408163265,0.43197278911564624,0.5545851528384279,72,87,2.4023366249487363,0.1399313787549834,0.13601428126269258,-0.0039170974922908275,0.0,0.0
